"","AccountsPayableCurrent","AccrualForEnvironmentalLossContingencies"
"2011-04-30",1274000000,NA
"2011-07-30",1386000000,NA
"2011-10-29",1831000000,NA
"2012-01-28",1022000000,NA
"2012-04-28",984000000,20000000
"2012-07-28",1015000000,21000000
"2012-10-27",1408000000,25000000
"2013-05-04",1248000000,20000000
"2013-08-03",1276000000,20000000
"2013-11-02",1409000000,18000000
"2014-02-01",948000000,19000000
"2014-05-03",841000000,19000000
"2014-08-02",984000000,18000000
"2014-11-01",1289000000,20000000
"2015-01-31",997000000,22000000
"2015-05-02",1063000000,22000000
"2015-08-01",1122000000,22000000
"2015-10-31",1453000000,22000000
"2016-01-30",925000000,23000000
"2016-04-30",995000000,23000000
"2016-07-30",1094000000,23000000
"2016-10-29",1493000000,24000000
"2017-01-28",977000000,24000000
"2017-04-29",893000000,24000000
"2017-07-29",950000000,24000000
"2017-10-28",1342000000,24000000
"2018-05-05",933000000,21000000
